TrueR2 Study_Q TrueR2_S CorM REFE FE_Estimate FE_SE FE_Bias FE_CP SampleSize Seed SplitProp Meds
0.345739735303967 4 0.35_0.35_0.35_0.35 3 FE 0.347731793435268 0.0142602139339705 0.00199205813130088 1 3000 2024 0.25_0.25_0.25_0.25 150_150_150_1050
0.345739735303967 4 0.35_0.35_0.35_0.35 3 FE 0.366723638759112 0.0139281583705038 0.0209839034551456 1 3000 2024 0.25_0.25_0.25_0.25 150_150_150_1050
0.345739735303967 4 0.35_0.35_0.35_0.35 3 FE 0.355988939741235 0.0140681743492025 0.0102492044372682 1 3000 2024 0.25_0.25_0.25_0.25 150_150_150_1050
0.345739735303967 4 0.35_0.35_0.35_0.35 3 FE 0.347951201356677 0.0138947964527242 0.00221146605271039 1 3000 2024 0.25_0.25_0.25_0.25 150_150_150_1050
0.345739735303967 4 0.35_0.35_0.35_0.35 3 FE 0.343427496421569 0.0139863682927348 -0.00231223888239834 1 3000 2024 0.25_0.25_0.25_0.25 150_150_150_1050
0.345739735303967 4 0.35_0.35_0.35_0.35 3 FE 0.34306933445035 0.0142228413609226 -0.00267040085361681 1 3000 2024 0.25_0.25_0.25_0.25 150_150_150_1050
0.345739735303967 4 0.35_0.35_0.35_0.35 3 FE 0.333229472574617 0.0141564703506529 -0.0125102627293501 1 3000 2024 0.25_0.25_0.25_0.25 150_150_150_1050
0.345739735303967 4 0.35_0.35_0.35_0.35 3 FE 0.367215893817701 0.0136851238268144 0.0214761585137345 1 3000 2024 0.25_0.25_0.25_0.25 150_150_150_1050
0.345739735303967 4 0.35_0.35_0.35_0.35 3 FE 0.349365027238469 0.0141795159635403 0.00362529193450245 1 3000 2024 0.25_0.25_0.25_0.25 150_150_150_1050
0.345739735303967 4 0.35_0.35_0.35_0.35 3 FE 0.348805126241003 0.0138997911829094 0.00306539093703606 1 3000 2024 0.25_0.25_0.25_0.25 150_150_150_1050
0.345739735303967 4 0.35_0.35_0.35_0.35 3 FE 0.349852648744466 0.0144196713137977 0.0041129134404988 1 3000 2024 0.25_0.25_0.25_0.25 150_150_150_1050
0.345739735303967 4 0.35_0.35_0.35_0.35 3 FE 0.348337313153394 0.0143738896593438 0.00259757784942727 1 3000 2024 0.25_0.25_0.25_0.25 150_150_150_1050
0.345739735303967 4 0.35_0.35_0.35_0.35 3 FE 0.34194718084907 0.014390229271922 -0.0037925544548969 1 3000 2024 0.25_0.25_0.25_0.25 150_150_150_1050
0.345739735303967 4 0.35_0.35_0.35_0.35 3 FE 0.34197415525565 0.0145642067899236 -0.00376558004831734 1 3000 2024 0.25_0.25_0.25_0.25 150_150_150_1050
0.345739735303967 4 0.35_0.35_0.35_0.35 3 FE 0.324083351760759 0.0137746375994239 -0.0216563835432076 1 3000 2024 0.25_0.25_0.25_0.25 150_150_150_1050
